system,li,ui,p95,count
bookstore_nodejs, 30.0, 31.0 , 30.5 , 864
bookstore_nodejs, 38.0, 38.0 , 38 , 886
bookstore_nodejs, 12984.0, 13007.0 , 12984.5 , 497
bookstore_nodejs, 33.0, 36.0 , 34 , 484
bookstore_nodejs, 45.0, 49.0 , 47 , 485
bookstore_nodejs, 6223.0, 6229.0 , 6223.5 , 1089
bookstore_nodejs, 59.0, 61.0 , 59.5 , 1094
bookstore_nodejs, 66.0, 68.0 , 67 , 1099
bookstore_nodejs, 10394.0, 10431.0 , 10403.5 , 688
bookstore_nodejs, 34.0, 36.0 , 35 , 685
bookstore_nodejs, 47.0, 49.0 , 47 , 697
bookstore_nodejs, 212.0, 213.0 , 212 , 2333
bookstore_nodejs, 43.0, 44.0 , 43 , 2328
bookstore_nodejs, 53.0, 53.0 , 53 , 2403
bookstore_nodejs, 167.0, 168.0 , 167 , 1876
bookstore_nodejs, 1657.0, 1684.0 , 1662.5 , 1871
bookstore_nodejs, 1777.0, 1795.0 , 1778 , 1907
bookstore_nodejs, 161.0, 161.0 , 161 , 1712
bookstore_nodejs, 1839.0, 1956.0 , 1940 , 1715
bookstore_nodejs, 2014.0, 2048.0 , 2015 , 1748
bookstore_nodejs, 247.0, 249.0 , 247 , 2322
bookstore_nodejs, 40.0, 41.0 , 40 , 2328
bookstore_nodejs, 46.0, 46.0 , 46 , 2394
bookstore_nodejs, 54.0, 56.0 , 54.5 , 989
bookstore_nodejs, 7004.0, 7014.0 , 7005.5 , 975
bookstore_nodejs, 47.0, 48.0 , 47 , 975
bookstore_nodejs, 1636.0, 1769.0 , 1689 , 1826
bookstore_nodejs, 1680.0, 1831.0 , 1744.5 , 1850
bookstore_nodejs, 169.0, 170.0 , 169.5 , 1831
bookstore_nodejs, 36.0, 37.0 , 36 , 567
bookstore_nodejs, 11148.0, 11160.0 , 11153.5 , 572
bookstore_nodejs, 30.0, 31.0 , 30.5 , 561
bookstore_nodejs, 39.0, 39.0 , 39 , 1761
bookstore_nodejs, 3562.0, 3566.0 , 3562.5 , 1708
bookstore_nodejs, 32.0, 33.0 , 32 , 1720
bookstore_nodejs, 13270.0, 13286.0 , 13270 , 500
bookstore_nodejs, 28.0, 28.0 , 28 , 487
bookstore_nodejs, 41.0, 42.0 , 41.5 , 490
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 3332.0, 3335.0 , 3332.5 , 1748
bookstore_nodejs, 309.0, 333.0 , 331.5 , 1756
bookstore_nodejs, 251.0, 283.0 , 269 , 1780
bookstore_nodejs, 536.0, 541.0 , 537.5 , 2659
bookstore_nodejs, 95.0, 100.0 , 98.5 , 2653
bookstore_nodejs, 108.0, 108.0 , 108 , 2723
bookstore_nodejs, 124.0, 129.0 , 125 , 2818
bookstore_nodejs, 179.0, 179.0 , 179 , 2742
bookstore_nodejs, 107.0, 109.0 , 107.5 , 2742
bookstore_nodejs, 230.0, 231.0 , 230 , 2698
bookstore_nodejs, 209.0, 210.0 , 209 , 2682
bookstore_nodejs, 213.0, 217.0 , 215.5 , 2779
bookstore_nodejs, 165.0, 165.0 , 165 , 1747
bookstore_nodejs, 2512.0, 2683.0 , 2517.5 , 1729
bookstore_nodejs, 2562.0, 2678.0 , 2572 , 1755
bookstore_nodejs, 221.0, 223.0 , 221.5 , 2785
bookstore_nodejs, 58.0, 58.0 , 58 , 2779
bookstore_nodejs, 65.0, 66.0 , 66 , 2871
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 370.0, 442.0 , 377.5 , 1373
bookstore_nodejs, 174.0, 178.0 , 174.5 , 1365
bookstore_nodejs, 6296.0, 6392.0 , 6352 , 1374
bookstore_nodejs, 5796.0, 5803.0 , 5800 , 1814
bookstore_nodejs, 348.0, 353.0 , 350 , 1796
bookstore_nodejs, 346.0, 354.0 , 346 , 1826
bookstore_nodejs, 14.0, 14.0 , 14 , 2864
bookstore_nodejs, 18.0, 18.0 , 18 , 2950
bookstore_nodejs, 161.0, 161.0 , 161 , 2855
bookstore_nodejs, 211.0, 214.0 , 213 , 2833
bookstore_nodejs, 14.0, 14.0 , 14 , 2845
bookstore_nodejs, 17.0, 18.0 , 17 , 2941
bookstore_nodejs, 201.0, 201.0 , 201 , 2833
bookstore_nodejs, 15.0, 16.0 , 15.5 , 2852
bookstore_nodejs, 19.0, 19.0 , 19 , 2942
bookstore_nodejs, 215.0, 216.0 , 216 , 2836
bookstore_nodejs, 16.0, 16.0 , 16 , 2845
bookstore_nodejs, 21.0, 21.0 , 21 , 2938
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 3332.0, 3335.0 , 3332.5 , 1748
bookstore_nodejs, 309.0, 333.0 , 331.5 , 1756
bookstore_nodejs, 251.0, 283.0 , 269 , 1780
bookstore_nodejs, 105.0, 105.0 , 105 , 2867
bookstore_nodejs, 19.0, 19.0 , 19 , 2873
